Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SauceDemo,Chrome 125.0.0.0,,,25-05-2024 21:00:56,25-05-2024 21:02:34,1m - 38.009s,PASSED
,,,,,,,
Test Cases/verifyLoginBtn,Chrome 125.0.0.0,,,25-05-2024 21:00:57,25-05-2024 21:01:14,17.610s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 21:00:58,25-05-2024 21:01:10,11.325s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 21:01:10,25-05-2024 21:01:11,1.433s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""), 0)",Chrome 125.0.0.0,,,25-05-2024 21:01:11,25-05-2024 21:01:12,1.027s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 21:01:12,25-05-2024 21:01:14,2.268s,PASSED
,,,,,,,
Test Cases/verifyTitle,Chrome 125.0.0.0,,,25-05-2024 21:01:14,25-05-2024 21:01:22,7.758s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 21:01:15,25-05-2024 21:01:20,5.461s,PASSED
"navigateToUrl(""http://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 21:01:20,25-05-2024 21:01:21,1.236s,PASSED
title = getWindowTitle(),Chrome 125.0.0.0,,,25-05-2024 21:01:21,25-05-2024 21:01:21,0.045s,PASSED
"verifyEqual(title, ""Swag Labs"")",Chrome 125.0.0.0,,,25-05-2024 21:01:21,25-05-2024 21:01:22,0.077s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 21:01:22,25-05-2024 21:01:22,0.560s,PASSED
,,,,,,,
Test Cases/verifyURL,Chrome 125.0.0.0,,,25-05-2024 21:01:22,25-05-2024 21:01:30,8.091s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 21:01:22,25-05-2024 21:01:27,4.555s,PASSED
"navigateToUrl(""http://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 21:01:27,25-05-2024 21:01:28,1.451s,PASSED
url = getUrl(),Chrome 125.0.0.0,,,25-05-2024 21:01:28,25-05-2024 21:01:29,0.351s,PASSED
"verifyEqual(url, ""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 21:01:29,25-05-2024 21:01:29,0.006s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 21:01:29,25-05-2024 21:01:30,1.494s,PASSED
,,,,,,,
Test Cases/verifyUsername,Chrome 125.0.0.0,,,25-05-2024 21:01:30,25-05-2024 21:01:37,7.046s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 21:01:31,25-05-2024 21:01:35,4.943s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 21:01:35,25-05-2024 21:01:36,0.751s,PASSED
